,0
0,178.0
1,275.0
2,268.0
3,242.0
4,200.0
5,214.0
6,246.0
7,236.0
8,85.0
9,114.0
10,93.0
11,99.0
12,72.0
13,270.0
14,111.0
15,83.0
16,87.0
17,42.0
18,172.0
19,65.0
20,259.0
21,279.0
22,141.0
23,144.0
24,220.0
25,90.0
26,101.0
27,53.0
28,67.0
29,72.0
30,121.0
31,303.0
32,232.0
33,140.0
34,190.0
35,221.0
36,71.0
37,116.0
38,111.0
39,280.0
40,233.0
41,78.0
42,150.0
43,283.0
44,64.0
45,140.0
46,65.0
47,225.0
48,206.0
49,63.0
50,296.0
51,173.0
52,85.0
53,141.0
54,50.0
55,25.0
56,153.0
57,55.0
58,139.0
59,336.0
60,73.0
61,95.0
62,109.0
63,44.0
64,180.0
65,263.0
66,148.0
67,79.0
68,65.0
69,102.0
70,220.0
71,277.0
72,246.0
73,200.0
74,262.0
75,191.0
76,97.0
77,184.0
78,85.0
79,248.0
80,150.0
81,268.0
82,59.0
83,70.0
84,88.0
85,100.0
86,190.0
87,113.0
88,66.0
89,243.0
90,185.0
91,262.0
92,48.0
93,160.0
94,217.0
95,210.0
96,132.0
97,257.0
98,104.0
99,126.0
100,292.0
101,166.0
102,83.0
103,81.0
104,144.0
105,281.0
106,72.0
107,39.0
108,109.0
109,60.0
110,258.0
111,178.0
112,168.0
113,87.0
114,77.0
115,216.0
116,206.0
117,142.0
118,161.0
119,265.0
120,60.0
121,200.0
122,265.0
123,272.0
124,146.0
125,94.0
126,55.0
127,69.0
128,138.0
129,258.0
130,143.0
131,172.0
132,89.0
133,69.0
134,199.0
135,55.0
136,45.0
137,265.0
138,91.0
139,170.0
140,55.0
141,202.0
142,155.0
143,77.0
144,77.0
145,71.0
146,123.0
147,84.0
148,252.0
149,52.0
150,40.0
151,274.0
152,143.0
153,245.0
154,92.0
155,151.0
156,39.0
157,235.0
158,92.0
159,253.0
160,94.0
161,81.0
162,346.0
163,90.0
164,181.0
165,162.0
166,277.0
167,152.0
168,178.0
169,124.0
170,75.0
171,263.0
172,202.0
173,200.0
174,108.0
175,96.0
176,60.0
177,72.0
178,107.0
179,54.0
180,158.0
181,152.0
182,220.0
183,308.0
184,249.0
185,222.0
186,65.0
187,173.0
188,88.0
189,72.0
190,164.0
191,52.0
192,115.0
193,200.0
194,90.0
195,248.0
196,37.0
197,230.0
198,63.0
199,273.0
200,61.0
201,53.0
202,189.0
203,241.0
204,118.0
205,252.0
206,104.0
207,219.0
208,115.0
209,332.0
210,131.0
211,185.0
212,63.0
213,131.0
214,88.0
215,187.0
216,196.0
217,59.0
218,341.0
219,109.0
220,101.0
221,113.0
222,80.0
223,242.0
224,168.0
225,128.0
226,233.0
227,209.0
228,225.0
229,83.0
230,214.0
231,96.0
232,129.0
233,47.0
234,229.0
235,293.0
236,74.0
237,202.0
238,164.0
239,202.0
240,59.0
241,91.0
242,120.0
243,151.0
244,310.0
245,90.0
246,116.0
247,147.0
248,43.0
249,42.0
250,48.0
251,134.0
252,84.0
253,71.0
254,64.0
255,70.0
256,310.0
257,311.0
258,122.0
259,243.0
260,248.0
261,91.0
262,281.0
263,142.0
264,295.0
